aalib                          @1.4rc5         graphics/aalib
abook                          @0.5.6          mail/abook
adns                           @1.4            net/adns
aescrypt                       @0.7            security/aescrypt
aesutil                        @1.0.7          security/aesutil
aircrack-ng                    @1.1            security/aircrack-ng
antlr                          @2.7.7          lang/antlr
antlr3                         @3.2            lang/antlr3
apache-ant                     @1.8.4          devel/apache-ant
apache-ivy                     @2.2.0          devel/apache-ivy
apache-solr                    @3.6.0          java/apache-solr
apache2                        @2.2.22         www/apache2
apachetop                      @0.12.6         sysutils/apachetop
apiextractor                   @0.10.10        devel/apiextractor
apple-gcc42                    @5666.3         lang/apple-gcc42
apr                            @1.4.6          devel/apr
apr-util                       @1.4.1          devel/apr-util
aquaterm                       @1.0.1          aqua/aquaterm
aria2                          @1.15.1         net/aria2
arpack                         @3.1.1          math/arpack
arpwatch                       @2.1a15         net/arpwatch
asciidoc                       @8.6.8          textproc/asciidoc
asciidoc                       @8.6.8          textproc/asciidoc
aspell                         @0.60.6         textproc/aspell
astyle                         @2.02.1         devel/astyle
atk                            @2.2.0          devel/atk
atkmm                          @2.22.6         gnome/atkmm
atlas                          @3.10.0         math/atlas
auctex                         @11.86          editors/auctex
audiofile                      @0.3.4          audio/audiofile
authforce                      @0.9.9          security/authforce
autobench                      @2.1.2          www/autobench
autoconf                       @2.69           devel/autoconf
autoconf213                    @2.13           devel/autoconf213
autoconf263                    @2.63           devel/autoconf263
autojump                       @20.9           sysutils/autojump
automake                       @1.12.2         devel/automake
automake                       @1.12.2         devel/automake
autossh                        @1.4c           net/autossh
babl                           @0.1.10         graphics/babl
babl                           @0.1.10         graphics/babl
base64                         @1.5            mail/base64
bdftopcf                       @1.0.3          x11/bdftopcf
beecrypt                       @4.2.1          devel/beecrypt
bind9                          @9.9.1-P1       net/bind9
binutils                       @2.21           devel/binutils
bison                          @2.6            devel/bison
boehmgc                        @7.2c           devel/boehmgc
boost                          @1.50.0         devel/boost
botan                          @1.8.13         security/botan
bzip2                          @1.0.6          archivers/bzip2
bzr                            @2.5.1          devel/bzr
cairo                          @1.12.2         graphics/cairo
cairomm                        @1.10.0         graphics/cairomm
calcurse                       @2.9.2          sysutils/calcurse
cclient                        @2007e          mail/cclient
cctools                        @822            devel/cctools
cctools-headers                @822            devel/cctools-headers
cedet                          @1.1            editors/cedet
cfitsio                        @3.300          science/cfitsio
cfv                            @1.18.3         security/cfv
clamav                         @0.97.5         sysutils/clamav
clojure                        @1.4.0          lang/clojure
clojure-contrib                @1.2.0          lang/clojure-contrib
cloog                          @0.16.3         devel/cloog
clusterit                      @2.5            net/clusterit
cmake                          @2.8.8          devel/cmake
commons-beanutils              @1.8.2          java/commons-beanutils
commons-collections            @3.2.1          java/commons-collections
commons-digester               @2.0            java/commons-digester
commons-fileupload             @1.2.2          java/commons-fileupload
commons-lang                   @2.4            java/commons-lang
commons-logging                @1.1.1          java/commons-logging
commons-validator              @1.3.1          java/commons-validator
convmv                         @1.15           sysutils/convmv
coreutils                      @8.17           sysutils/coreutils
corkscrew                      @2.0            net/corkscrew
couchdb                        @1.2.0          databases/couchdb
cowsay                         @3.03           textproc/cowsay
cppunit                        @1.12.1         devel/cppunit
csshX                          @0.74           net/csshX
curl                           @7.26.0         net/curl
curl-ca-bundle                 @7.26.0         net/curl-ca-bundle
cyrus-sasl2                    @2.1.25         security/cyrus-sasl2
daq                            @0.6.2          net/daq
db44                           @4.4.20         databases/db44
db46                           @4.6.21         databases/db46
dbus                           @1.4.20         devel/dbus
dbus-glib                      @0.100          devel/dbus-glib
dbus-python27                  @0.84.0         devel/dbus-python27
dcraw                          @9.16-20120705004100 graphics/dcraw
ddd                            @3.3.12         devel/ddd
dejavu-fonts                   @2.33           x11/dejavu-fonts
desktop-file-utils             @0.15           gnome/desktop-file-utils
detex                          @2.8            tex/detex
detox                          @1.2.0          sysutils/detox
dialog                         @1.1-20120706   devel/dialog
dirac                          @1.0.2          multimedia/dirac
dnstracer                      @1.9            net/dnstracer
docbook-xml                    @5.0            textproc/docbook-xml
docbook-xml-4.1.2              @4.1.2          textproc/docbook-xml-4.1.2
docbook-xml-4.2                @4.2            textproc/docbook-xml-4.2
docbook-xml-4.3                @4.3            textproc/docbook-xml-4.3
docbook-xml-4.4                @4.4            textproc/docbook-xml-4.4
docbook-xml-4.5                @4.5            textproc/docbook-xml-4.5
docbook-xml-5.0                @5.0            textproc/docbook-xml-5.0
docbook-xsl                    @1.76.1         textproc/docbook-xsl
dos2unix                       @6.0            textproc/dos2unix
doxygen                        @1.8.1.1        textproc/doxygen
drill                          @1.6.8          net/drill
dtach                          @0.8            sysutils/dtach
duplicity                      @0.6.18         sysutils/duplicity
duply                          @1.5.7          sysutils/duply
duply                          @1.5.7          sysutils/duply
dvipng                         @1.14           tex/dvipng
dyld-headers                   @195.6          devel/dyld-headers
ecb                            @2.40           editors/ecb
eggdbus                        @0.6            devel/eggdbus
eigen3                         @3.1.0          math/eigen3
elinks                         @0.11.7         www/elinks
emacs                          @24.1           editors/emacs
emacs-app                      @24.1           aqua/emacs-app
emacs-w3m                      @1.4.4          www/emacs-w3m
enca                           @1.13           textproc/enca
enchant                        @1.6.0          textproc/enchant
epubcheck                      @1.2            textproc/epubcheck
erc                            @5.3            irc/erc
erlang                         @R15B01         lang/erlang
esound                         @0.2.41         audio/esound
etherape                       @0.9.10         net/etherape
ettercap                       @0.6.b          net/ettercap
ettercap-ng                    @0.7.3          net/ettercap-ng
evolution-data-server          @2.30.3         gnome/evolution-data-server
exif                           @0.6.19         graphics/exif
exiftags                       @1.01           graphics/exiftags
exim                           @4.71           mail/exim
exiv2                          @0.22           graphics/exiv2
expat                          @2.1.0          textproc/expat
faac                           @1.28           audio/faac
faad2                          @2.7            audio/faad2
fast-md5                       @2.6.2          java/fast-md5
fcrackzip                      @1.0            security/fcrackzip
ffmpeg                         @0.7.11         multimedia/ffmpeg
fftw-3                         @3.3.2          math/fftw-3
fftw-3-single                  @3.3.2          math/fftw-3
file                           @5.11           sysutils/file
findutils                      @4.4.2          sysutils/findutils
flac                           @1.2.1          audio/flac
flac2mp3                       @20041223       audio/flac2mp3
flex                           @2.5.36         devel/flex
font-mutt-misc                 @1.0.3          x11/font-mutt-misc
fontconfig                     @2.9.0          graphics/fontconfig
fop                            @1.0            textproc/fop
foremost                       @1.5.4          sysutils/foremost
fortune                        @6.2.0-RELEASE  games/fortune
fping                          @2.4b2          net/fping
freetds                        @0.91           databases/freetds
freetype                       @2.4.10         print/freetype
fsharp                         @1.9.4.19       lang/fsharp
ftgl                           @2.1.3-rc5      graphics/ftgl
fuse4x                         @0.9.1          fuse/fuse4x
fuse4x-kext                    @0.9.1          fuse/fuse4x-kext
fusil                          @0.7            security/fusil
gawk                           @4.0.0          lang/gawk
gcc43                          @4.3.6          lang/gcc43
gcc44                          @4.4.7          lang/gcc44
gcc45                          @4.5.4          lang/gcc45
gcc46                          @4.6.3          lang/gcc46
gcc47                          @4.7.1          lang/gcc47
gcc_select                     @0.1            sysutils/gcc_select
gccxml-devel                   @20120517       lang/gccxml-devel
gconf                          @2.28.1         gnome/gconf
gd2                            @2.0.35         graphics/gd2
gdb                            @7.3            devel/gdb
gdbm                           @1.10           databases/gdbm
gdk-pixbuf2                    @2.26.1         graphics/gdk-pixbuf2
geany                          @0.21           devel/geany
gegl                           @0.2.0          graphics/gegl
gegl                           @0.2.0          graphics/gegl
generatorrunner                @0.6.16         devel/generatorrunner
getopt                         @1.1.4          sysutils/getopt
gettext                        @0.18.1.1       devel/gettext
ghc                            @6.10.4         lang/ghc
ghostscript                    @9.05           print/ghostscript
giflib                         @4.2.0          graphics/giflib
gimp                           @2.8.0          graphics/gimp
gimp-app                       @2.8.0          aqua/gimp-app
gimp-help-en                   @2.8.0          graphics/gimp-help-en
